cycle_id,ADG,start_date,end_date,start_weight,end_weight,duration_days
25152.0,0.3410714285714285,2023-09-07,2023-11-02,3.1,22.2,56
25181.0,0.21505494505494505,2023-09-21,2023-12-21,0.66,20.23,91
25182.0,0.21406593406593408,2023-09-21,2023-12-21,0.52,20.0,91
25183.0,0.21648351648351652,2023-09-21,2023-12-21,0.56,20.26,91
25187.0,0.23823529411764705,2023-09-21,2023-12-15,0.75,21.0,85
25189.0,0.2560439560439561,2023-09-21,2023-12-21,1.0,24.3,91
25204.0,0.23500000000000001,2023-10-03,2023-10-21,4.1,8.33,18
25205.0,0.2733333333333333,2023-10-03,2023-10-21,3.41,8.33,18
25214.0,0.36000000000000004,2023-09-08,2023-09-20,6.5,10.82,12
25217.0,0.4110344827586207,2023-09-17,2023-10-16,8.9,20.82,29
25256.0,0.17242424242424242,2023-09-26,2024-01-03,0.23,17.3,99
25258.0,0.307051282051282,2023-09-29,2023-12-16,0.59,24.54,78
25273.0,0.027272727272727258,2023-10-06,2023-10-17,3.04,3.34,11
25274.0,0.2744444444444445,2023-09-08,2023-09-26,4.31,9.25,18
25307.0,0.3143333333333333,2023-09-19,2023-10-19,2.0,11.43,30
25308.0,0.31521739130434784,2023-09-19,2023-11-04,2.0,16.5,46
25309.0,0.32326086956521743,2023-09-19,2023-11-04,2.13,17.0,46
25310.0,0.19869565217391305,2023-09-19,2023-11-04,2.13,11.27,46
25311.0,0.36086956521739133,2023-09-19,2023-11-04,2.0,18.6,46
25312.0,0.3313043478260869,2023-09-19,2023-11-04,2.0,17.24,46
25313.0,0.3023913043478261,2023-09-19,2023-11-04,2.09,16.0,46
25314.0,0.16717391304347826,2023-09-19,2023-11-04,2.08,9.77,46
25315.0,0.2538095238095238,2023-10-03,2023-10-24,3.0,8.33,21
25316.0,,2023-10-02,2023-10-02,3.3,3.3,0
25333.0,0.4148214285714285,2023-09-26,2023-11-21,4.1,27.33,56
25334.0,0.31035714285714283,2023-09-26,2023-11-21,2.5,19.88,56
25336.0,0.35193548387096774,2023-09-26,2023-10-27,3.3,14.21,31
25338.0,0.24625,2023-09-26,2023-11-21,3.8,17.59,56
25353.0,0.28421052631578947,2023-10-15,2023-11-03,6.3,11.7,19
25360.0,0.16742424242424245,2023-11-11,2024-01-16,1.95,13.0,66
25361.0,0.15833333333333335,2023-11-11,2024-01-16,1.95,12.4,66
25362.0,0.13712121212121214,2023-11-11,2024-01-16,2.25,11.3,66
25375.0,0.07928571428571428,2023-10-18,2023-11-01,1.69,2.8,14
25376.0,0.06214285714285713,2023-10-18,2023-11-01,1.59,2.46,14
25378.0,0.044285714285714296,2023-10-18,2023-10-25,1.67,1.98,7
25379.0,0.04142857142857143,2023-10-18,2023-11-01,1.52,2.1,14
25381.0,0.11666666666666667,2023-10-30,2023-11-20,5.88,8.33,21
25388.0,,2023-10-04,2023-10-04,5.56,5.56,0
25391.0,0.27,2023-10-08,2023-12-06,2.5,18.43,59
25411.0,0.305,2023-10-03,2023-11-08,2.94,13.92,36
25412.0,,2023-10-04,2023-10-04,0.31,0.31,0
25419.0,0.11428571428571425,2023-10-08,2023-10-15,2.5,3.3,7
25440.0,-0.16666666666666666,2023-10-04,2023-10-10,6.0,5.0,6
25441.0,0.14647058823529413,2023-10-04,2023-10-21,5.2,7.69,17
25442.0,0.027586206896551717,2023-10-04,2023-11-02,5.2,6.0,29
25443.0,,2023-10-09,2023-10-09,8.8,8.8,0
25444.0,,2023-10-09,2023-10-09,9.2,9.2,0
25445.0,,2023-10-09,2023-10-09,8.0,8.0,0
25546.0,,2023-10-17,2023-10-17,24.75,24.75,0
25547.0,,2023-09-24,2023-09-24,4.0,4.0,0
25551.0,,2023-10-17,2023-10-17,8.5,8.5,0
25552.0,0.007500000000000284,2023-10-01,2023-10-05,8.87,8.9,4
25553.0,0.2799999999999998,2023-10-01,2023-10-05,8.88,10.0,4
25567.0,0.3362857142857143,2023-10-19,2023-12-28,3.66,27.2,70
25577.0,0.19999999999999987,2023-11-07,2023-11-13,7.0,8.2,6
25578.0,0.23333333333333325,2023-11-07,2023-11-13,6.8,8.2,6
25579.0,0.2999999999999998,2023-11-07,2023-11-09,6.0,6.6,2
25580.0,0.0,2023-11-07,2023-11-09,5.5,5.5,2
25581.0,0.07647058823529411,2023-11-13,2023-11-30,5.0,6.3,17
25582.0,0.16470588235294123,2023-11-13,2023-11-30,5.5,8.3,17
25584.0,0.3866666666666667,2023-11-15,2023-11-27,12.5,17.14,12
25585.0,,2023-10-30,2023-10-30,6.0,6.0,0
25586.0,,2023-11-03,2023-11-03,5.5,5.5,0
25613.0,0.08571428571428572,2023-10-17,2023-11-07,1.8,3.6,21
25617.0,0.28458333333333335,2023-10-09,2023-11-02,1.82,8.65,24
25649.0,0.15,2023-11-12,2023-12-02,7.0,10.0,20
25706.0,0.27142857142857146,2023-10-09,2023-11-20,0.6,12.0,42
25707.0,0.16999999999999998,2023-10-09,2023-11-20,0.7,7.84,42
25708.0,0.16738095238095235,2023-10-09,2023-11-20,0.9,7.93,42
25881.0,,2023-11-16,2023-11-16,12.5,12.5,0
